id,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
25,A,B,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,B,B,A,A,A,G,H,D,D,D,E,A,A,P,H,Q,A,A,F,G,G,F,D,BI,AM,A,AS,H,A,K,GS,0.496063,0.358319,0.65431,0.284048,0.281143,0.429383,0.877905,0.39455,0.53565,0.50556,0.550529,0.538473,0.336261,0.715009,6396.85
33,A,B,A,A,B,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,D,B,D,A,D,C,B,B,D,A,A,A,A,A,C,B,D,E,C,A,P,H,M,A,B,G,I,I,F,B,BI,AI,A,E,AX,A,K,HK,0.520698,0.422197,0.634224,0.432728,0.508483,0.314683,0.370419,0.58354,0.46226,0.38016,0.644013,0.665644,0.339244,0.799124,5965.73
34,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,H,D,D,C,E,E,D,T,F,A,A,B,E,E,I,K,K,BI,CS,A,E,AE,A,O,DJ,0.321594,0.555782,0.527991,0.373816,0.302678,0.408772,0.363312,0.32843,0.32128,0.44467,0.327915,0.32157,0.605077,0.818358,1193.05
41,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,A,D,B,C,E,E,A,D,I,A,A,B,D,E,J,G,A,AB,EG,A,AK,K,E,K,DC,0.351358,0.555782,0.440642,0.83324,0.811271,0.241574,0.255339,0.58934,0.32496,0.26029,0.257148,0.253044,0.276878,0.477578,1071.77
47,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,C,B,D,B,D,A,A,B,H,D,B,C,E,G,C,T,F,A,A,B,P,F,E,H,G,BI,EG,A,AH,L,A,P,MP,0.894333,0.299102,0.094942,0.722125,0.281143,0.894903,0.586433,0.80058,0.93383,0.7877,0.880469,0.871011,0.822493,0.251278,585.18
48,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,A,B,D,B,A,A,A,G,H,D,D,C,E,C,D,T,F,A,A,B,E,E,G,H,K,BI,CQ,A,AI,BM,C,L,DS,0.472892,0.681761,0.484196,0.442784,0.281143,0.570733,0.547756,0.80438,0.44352,0.63026,0.385085,0.377003,0.51666,0.340325,1395.45
49,A,B,B,A,A,A,A,A,B,B,B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,B,C,B,B,D,A,A,B,A,A,D,D,D,E,C,A,P,L,Q,A,A,E,F,G,F,B,BI,CL,A,AE,A,A,J,DJ,0.424162,0.737068,0.80643,0.259793,0.525831,0.411902,0.593548,0.31796,0.38846,0.48889,0.457203,0.447145,0.301535,0.205651,6609.32
51,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,A,A,D,B,C,E,E,C,T,J,A,A,A,I,F,F,G,G,BU,BC,A,A,S,F,O,LE,0.834747,0.488789,0.246911,0.83324,0.551723,0.688705,0.437192,0.67263,0.83505,0.59334,0.678924,0.665644,0.684242,0.407411,2658.7
52,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,D,B,C,B,B,B,A,A,B,C,A,D,D,D,E,A,A,P,M,A,A,A,G,G,G,F,D,BI,CS,A,AV,J,F,K,HQ,0.488816,0.422197,0.592681,0.452887,0.281143,0.443265,0.637086,0.36636,0.52938,0.39068,0.678924,0.665644,0.30435,0.310796,4167.32
55,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,H,D,B,C,E,C,D,T,F,A,A,A,G,E,I,K,K,BI,BS,E,L,BM,A,R,HJ,0.391956,0.15999,0.26357,0.432728,0.602545,0.436312,0.544355,0.48864,0.36285,0.20496,0.388786,0.40609,0.648701,0.830931,3797.89
57,B,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,D,B,C,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,I,D,A,A,E,E,I,K,K,BI,CS,C,F,AE,A,O,DJ,0.338258,0.785784,0.65431,0.373816,0.718531,0.441525,0.437192,0.31796,0.32128,0.44467,0.377724,0.369858,0.605077,0.74381,1155.48
60,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,E,D,T,I,A,A,A,F,F,J,L,K,BI,AI,C,AP,Y,E,P,GC,0.283689,0.488789,0.506105,0.463029,0.534484,0.349885,0.381185,0.81542,0.32311,0.36458,0.453334,0.454705,0.651733,0.354002,891.14
61,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,D,C,B,B,B,A,A,A,A,A,D,D,E,E,D,A,S,I,A,A,B,C,D,L,K,I,BI,EB,A,AS,AE,F,N,BY,0.125526,0.620805,0.61366,0.236924,0.281143,0.183243,0.25356,0.40028,0.21374,0.19431,0.167024,0.165648,0.40452,0.725941,765.97
66,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,G,H,D,D,D,E,C,A,P,I,A,A,A,E,E,H,F,B,BI,CS,I,AD,BM,A,K,DP,0.475784,0.785784,0.592681,0.614134,0.78323,0.3735,0.381883,0.36083,0.44352,0.45017,0.338312,0.366307,0.339244,0.793518,771.58
73,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,C,C,A,A,A,A,A,A,C,A,B,A,A,A,A,A,A,C,D,C,E,C,A,D,A,A,A,A,H,I,G,F,A,BI,BT,A,AF,AF,A,I,HX,0.378225,0.785784,0.762059,0.259793,0.543117,0.38207,0.451203,0.33906,0.479,0.54433,0.812519,0.800726,0.246011,0.215055,7256.49
76,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,B,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,A,A,P,J,A,A,A,G,E,F,F,B,BI,EB,E,AV,AK,A,K,HL,0.57381,0.422197,0.26357,0.229617,0.281143,0.592478,0.496452,0.29758,0.46226,0.51111,0.434083,0.424625,0.3574,0.311644,1528.73
86,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,B,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,G,A,A,A,F,F,G,G,D,BI,EG,A,AL,H,E,K,GS,0.296829,0.358319,0.65431,0.284048,0.281143,0.435733,0.769905,0.60087,0.40252,0.28677,0.550529,0.538473,0.298734,0.698006,4787.07
89,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,A,D,D,D,E,C,A,P,I,A,A,A,E,E,H,F,B,BI,CS,E,E,BM,A,K,DJ,0.475784,0.620805,0.462347,0.534409,0.889301,0.3735,0.356037,0.36083,0.44352,0.45017,0.291268,0.295524,0.339244,0.804795,2163.97
90,A,B,A,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,B,C,B,C,B,A,A,A,D,A,D,D,E,E,G,E,R,O,C,A,A,G,F,G,I,F,BI,EB,G,AN,AE,C,N,HK,0.645422,0.299102,0.527991,0.327354,0.422268,0.671307,0.464924,0.33906,0.62542,0.66076,0.6075,0.594646,0.678452,0.285224,11673.03
93,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,D,B,B,D,B,B,D,C,B,C,B,A,A,A,A,A,D,B,E,E,G,E,R,I,A,A,C,G,E,H,J,F,AB,EB,A,U,N,A,M,HG,0.477231,0.488789,0.246911,0.463029,0.281143,0.557431,0.402942,0.34445,0.52728,0.79139,0.377724,0.369858,0.687115,0.297788,1753.5
100,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,B,D,B,B,C,B,D,D,A,A,A,A,A,D,D,C,E,C,D,T,J,C,A,A,G,F,G,J,K,BI,CO,A,N,AX,A,N,HK,0.45271,0.488789,0.54977,0.432728,0.281143,0.577059,0.582429,0.65663,0.4832,0.57716,0.625936,0.612906,0.617748,0.598847,4521.12
105,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,G,H,D,D,D,E,A,A,P,A,A,A,E,K,H,F,F,B,BI,BT,A,E,M,A,J,MD,0.585115,0.422197,0.336963,0.670373,0.585792,0.605191,0.67568,0.45883,0.66201,0.58257,0.880469,0.871011,0.354344,0.811987,2127.71
107,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,C,B,C,B,B,B,A,A,A,A,A,D,B,D,E,E,A,P,L,I,A,A,D,E,K,H,B,AB,EG,A,J,BM,A,M,CK,0.325401,0.488789,0.592681,0.473202,0.758711,0.201125,0.260915,0.24564,0.30859,0.21983,0.199654,0.214808,0.351299,0.391812,5370.72
111,A,B,A,B,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,D,B,B,D,D,A,D,C,B,D,B,D,A,A,B,H,C,B,C,E,A,C,T,F,F,A,A,J,F,F,G,G,BI,EG,C,S,L,A,N,LF,0.894333,0.299102,0.280933,0.713852,0.281143,0.731498,0.438285,0.75964,0.93383,0.7877,0.711942,0.714544,0.751507,0.673856,1831.24
112,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,D,B,C,B,D,B,D,A,A,A,A,C,C,C,E,A,C,T,I,A,A,A,K,F,E,H,G,BI,CS,C,A,L,A,O,LM,0.848648,0.620805,0.336963,0.705434,0.281143,0.862621,0.519514,0.96202,0.86299,0.8351,0.832976,0.832658,0.808455,0.39875,2421.69
116,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,C,E,D,A,K,H,D,A,A,C,D,L,J,A,K,CM,A,AN,AF,A,M,CB,0.138128,0.555782,0.527991,0.215482,0.310061,0.189484,0.245611,0.25918,0.2418,0.2123,0.169206,0.167768,0.339244,0.276837,1376.18
118,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,D,B,D,B,B,C,B,B,C,A,A,A,A,A,D,D,E,E,E,A,S,A,A,A,A,D,F,M,L,I,BI,EL,E,E,AK,A,N,CS,0.154787,0.737068,0.57136,0.195483,0.372405,0.206854,0.277613,0.33906,0.27393,0.37493,0.251234,0.247316,0.51666,0.799114,7703.4
125,A,A,A,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,A,C,B,A,B,A,B,A,B,H,C,D,A,E,C,A,E,F,A,C,A,G,I,F,G,H,BI,BT,E,AW,AX,C,H,HK,0.227585,0.555782,0.844219,0.432728,0.281143,0.463958,0.745362,0.68308,0.34365,0.43919,0.812519,0.800726,0.19994,0.836949,11248.08
130,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,B,B,A,C,B,D,B,A,A,A,B,A,C,B,C,E,C,D,T,I,A,A,B,I,F,H,K,K,BI,AI,A,F,AJ,A,P,LB,0.367378,0.358319,0.174588,0.345595,0.340543,0.585075,0.577741,0.34987,0.37458,0.48334,0.588753,0.576121,0.704052,0.740584,876.78
139,A,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,E,C,A,D,H,C,A,B,I,H,G,F,D,BI,AY,A,AD,AT,A,K,KQ,0.351358,0.199504,0.419161,0.373816,0.447878,0.374051,0.833411,0.5245,0.37458,0.25604,0.727671,0.714544,0.233856,0.793199,3552.53
140,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,A,E,C,A,F,I,A,A,A,F,E,E,F,A,BI,W,A,I,F,E,J,GS,0.347403,0.422197,0.61366,0.383428,0.372405,0.590205,0.864052,0.5245,0.34745,0.33428,0.531161,0.519456,0.253506,0.295055,1154.43
